case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
2629,TX,FALSE,"Floyd County, TX",Floyd County,1p4c,11496,11157.8826,13985.694,16385.712,8208.3948,9285.4746,2749.63272,73268.7888,56169.4375
2644,TX,TRUE,"Longview, TX HUD Metro FMR Area",Gregg County,2p0c,8690.79276,5363.94036,12257.0304,9698.95968,5092.58424,0,5121.85548,46225.1628,62751.39453
2646,TX,TRUE,"San Antonio-New Braunfels, TX HUD Metro FMR Area",Guadalupe County,2p3c,19309.9536,11164.80396,15334.0092,16094.3436,11042.2068,14933.2968,7671.35964,95549.976,87043.01563
2653,TX,TRUE,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",Harris County,2p1c,13520.8956,6889.02612,12701.544,9962.59428,7395.32004,7592.08296,5994.89064,64056.3516,73169.57031
2665,TX,FALSE,"Houston County, TX",Houston County,2p3c,10956,9737.17308,15060.6024,19172.772,7497.95292,9116.39652,3999.75768,75540.6564,48901.5625
2673,TX,FALSE,"Jasper County, TX",Jasper County,1p1c,9876,4296.60612,12055.6608,8046.8958,5135.29428,4918.56744,3996.86316,48325.8864,60614.56641
2679,TX,TRUE,"Abilene, TX MSA",Jones County,2p0c,7051.68012,5516.109,13560.2436,10778.95968,4553.80596,0,5190.95328,46651.752,64231.05078
2680,TX,FALSE,"Karnes County, TX",Karnes County,1p3c,12036,8517.68184,14174.5092,13367.1084,7447.40988,9556.60764,3744.72252,68844.0408,74725.21094
2689,TX,FALSE,"Kleberg County, TX",Kleberg County,2p4c,14856,12811.9044,13861.446,21414.0024,10025.17308,10378.3176,4378.30476,87725.1504,53730.72656
2690,TX,FALSE,"Knox County, TX",Knox County,1p3c,10956,8398.13604,13784.8584,13665.9816,7012.76736,9209.17164,3210,66236.9124,64025.68359
2694,TX,FALSE,"La Salle County, TX",La Salle County,1p0c,6456,2583.40644,11323.91088,5506.79004,3275.33352,0,4274.28924,33419.73,55959.96484
